"game_id","season","week","game_type","home_team","away_team","home_score","away_score","home_epa","home_success","home_ypp","home_turnovers","away_epa","away_success","away_ypp","away_turnovers","epa_diff","success_diff","ypp_diff","turnover_diff","home_win_prob","away_win_prob","predicted_winner","actual_winner","correct"
"2026_01_NE_SEA",2026,1,"REG","SEA","NE",13,10,0.027204581932706,0.463909863636411,4.35292180699504,1.15841584158416,-0.0313968614058042,0.445086947324149,4.14703283459171,1.34653465346535,0.0586014433385102,0.0188229163122616,0.20588897240333,-0.188118811881188,0.553750813007355,0.446249186992645,"SEA","SEA",TRUE
"2026_01_SF_LA",2026,1,"REG","LA","SF",7,27,0.00609602926108153,0.457493058697497,4.39151109656223,1.15841584158416,0.05030719089742,0.472995287070981,4.73722559751139,1.41584158415842,-0.0442111616363385,-0.0155022283734846,-0.345714500949161,-0.257425742574257,0.38617068529129,0.61382931470871,"SF","SF",TRUE
"2026_01_CHI_CAR",2026,1,"REG","CAR","CHI",37,59,-0.0642552531559773,0.428394138894595,3.79163188282494,1.37623762376238,-0.0364798474131456,0.425758947716373,3.94347776717361,1.25742574257426,-0.0277754057428318,0.00263519117822136,-0.151845884348674,0.118811881188119,0.490995198488235,0.509004801511765,"CHI","CHI",TRUE
"2026_01_TB_CIN",2026,1,"REG","CIN","TB",33,27,0.0199041503120299,0.459394938862178,4.16553023295495,1.21,0.0272749518187329,0.453642639358911,4.35461799170593,1.16831683168317,-0.00737080150670296,0.00575229950326728,-0.189087758750987,0.0416831683168317,0.485324054956436,0.514675945043564,"TB","CIN",FALSE
"2026_01_NO_DET",2026,1,"REG","DET","NO",31,30,0.0330274933028972,0.458218365945351,4.55586231820412,1.10891089108911,-0.0484721196766551,0.430441188785096,4.09742568138807,1.17821782178218,0.0814996129795523,0.0277771771602544,0.458436636816042,-0.0693069306930691,0.654343903064728,0.345656096935272,"DET","DET",TRUE
"2026_01_BUF_HOU",2026,1,"REG","HOU","BUF",31,36,-0.0426367182099534,0.415759849815769,4.00346717211873,1.14851485148515,0.0976927908770074,0.485914547169069,4.68996720858461,1.26,-0.140329509086961,-0.0701546973532999,-0.686500036465882,-0.111485148514852,0.314149051904678,0.685850948095322,"BUF","BUF",TRUE
"2026_01_BAL_IND",2026,1,"REG","IND","BAL",23,41,-0.00743225711679692,0.444940887426274,4.24612566464883,1.35643564356436,0.0593953525340458,0.471323628315068,4.61124403741224,1.20792079207921,-0.0668276096508427,-0.0263827408887939,-0.365118372763418,0.148514851485149,0.394792497158051,0.605207502841949,"BAL","BAL",TRUE
"2026_01_CLE_JAX",2026,1,"REG","JAX","CLE",34,10,-0.0184791357057184,0.43933773249069,4.08591921265629,1.46534653465347,-0.0662126247432535,0.414774758198699,3.94176984021491,1.52475247524752,0.047733489037535,0.0245629742919916,0.144149372441377,-0.0594059405940595,0.642961859703064,0.357038140296936,"JAX","JAX",TRUE
"2026_01_ATL_PIT",2026,1,"REG","PIT","ATL",20,13,-0.0190631674600532,0.433129925897314,3.91235911740131,1.02970297029703,-0.028751062260927,0.441308069107931,4.1806553124907,1.33663366336634,0.00968789480087378,-0.00817814321061705,-0.268296195089389,-0.306930693069307,0.495479226112366,0.504520773887634,"ATL","PIT",FALSE
"2026_01_NYJ_TEN",2026,1,"REG","TEN","NYJ",10,23,-0.0308671717737518,0.433212348348279,3.9043043013797,1.24752475247525,-0.0906310134316956,0.412124154623042,3.67020629578373,1.42574257425743,0.0597638416579438,0.0210881937252367,0.234098005595973,-0.178217821782178,0.643851757049561,0.356148242950439,"TEN","NYJ",FALSE
