"game_id","home_team","away_team","home_win_prob","away_win_prob","predicted_winner","actual_winner","correct"
"2025_04_CAR_NE","NE","CAR",0.74047577381134,0.25952422618866,"NE","NE",TRUE
"2025_04_LAC_NYG","NYG","LAC",0.265363534912467,0.734636465087533,"LAC","NYG",FALSE
"2025_04_PHI_TB","TB","PHI",0.685953468084335,0.314046531915665,"TB","PHI",FALSE
"2025_04_IND_LA","LA","IND",0.734022468328476,0.265977531671524,"LA","LA",TRUE
"2025_04_JAX_SF","SF","JAX",0.749515175819397,0.250484824180603,"SF","JAX",FALSE
"2025_04_BAL_KC","KC","BAL",0.741116642951965,0.258883357048035,"KC","KC",TRUE
"2025_04_CHI_LV","LV","CHI",0.528105765581131,0.471894234418869,"LV","CHI",FALSE
"2025_04_GB_DAL","DAL","GB",0.305249869823456,0.694750130176544,"GB","GB",TRUE
"2025_04_NYJ_MIA","MIA","NYJ",0.749968528747559,0.250031471252441,"MIA","MIA",TRUE
"2025_04_CIN_DEN","DEN","CIN",0.256294027436525,0.743705972563475,"CIN","DEN",FALSE
"2025_05_SF_LA","LA","SF",0.315538130700588,0.684461869299412,"SF","SF",TRUE
"2025_05_MIN_CLE","CLE","MIN",0.25670579681173,0.74329420318827,"MIN","MIN",TRUE
"2025_05_HOU_BAL","BAL","HOU",0.749971568584442,0.250028431415558,"BAL","HOU",FALSE
"2025_05_MIA_CAR","CAR","MIA",0.254870946984738,0.745129053015262,"MIA","CAR",FALSE
"2025_05_LV_IND","IND","LV",0.747011095285416,0.252988904714584,"IND","IND",TRUE
"2025_05_NYG_NO","NO","NYG",0.711211204528809,0.288788795471191,"NO","NO",TRUE
"2025_05_DAL_NYJ","NYJ","DAL",0.250021002426365,0.749978997573635,"DAL","DAL",TRUE
"2025_05_DEN_PHI","PHI","DEN",0.748808950185776,0.251191049814224,"PHI","DEN",FALSE
"2025_05_TEN_ARI","ARI","TEN",0.728278189897537,0.271721810102463,"ARI","TEN",FALSE
"2025_05_TB_SEA","SEA","TB",0.694851249456406,0.305148750543594,"SEA","TB",FALSE
"2025_05_DET_CIN","CIN","DET",0.638141304254532,0.361858695745468,"CIN","DET",FALSE
"2025_05_WAS_LAC","LAC","WAS",0.664906829595566,0.335093170404434,"LAC","WAS",FALSE
